Character,Archetype,Level,Passive Name,Description
Brad,Berserker,2,Enraged Will,"When you drop below 25% HP, perform a Reach AOE swing hitting all nearby enemies. Gain 1 mana per kill. Cooldown: 10 tempo"
Brad,Warden,3,In the Trenches,"When an enemy enters an adjacent square, perform a free attack. When an enemy attacks you from adjacent, knock them back. 2 charges, 10 tempo cooldown"
Brad,The Ancient,4,Stone Skin,"Gain 10% Fire, Physical and Lightning resistance"
Brad,The Fallen,5,Point to Prove,"When stunned or disarmed, choose to sacrifice 5 HP to ignore the ailment"
Brad,Berserker,7,Directed Strength,"Gain 5 strength when below 50% health, lose it when going above"
Brad,Warden,8,The Way of the Plate,Every other Defense card refunds 1 mana and 1 tempo
Brad,The Ancient,9,Ancestral Aid,"Each cycle: more attacks in hand -> discount a random attack by 2m. More defense -> heal 3 HP"
Brad,The Fallen,11,Redemption,"When healing (self or ally), gain crit chance on your next attack"
Brad,Berserker,13,Life Steal,All attacks life steal by 5%
Brad,Warden,14,Pristine Armor,Defense cards grant +2 armor. Playing 3 defense cards in a row grants an additional +5 armor
Brad,The Ancient,16,Vines Codependence,"Whenever you heal, gain 3 thorns"
Brad,The Fallen,18,Solemn Independence,"When 3+ enemies are within 2 tiles: +5 damage on all attacks, +5 armor per tempo cycle, but cannot be healed by allies"
Ryan,Relentless Blade,2,Keep Them Guessing,"When discarding a card, -1t from a random card in your hand"
Ryan,Light Foot,3,Quick Step,"Anytime an instant is played from your hand, gain 5 armor"
Ryan,Apothecary,4,Stimulant,"When healing yourself or an ally with a Pocket card, the healed character draws a card. 5 tempo cooldown."
Ryan,Shadow Blade,5,Now You See Me,"Displacing yourself (blinking, being swapped, or other non-standard movement) grants you invisibility"
Ryan,Relentless Blade,7,From the Hip,"If an attack, your most recently drawn card has -1 mana cost. The discount is lost when any card is played"
Ryan,Light Foot,8,Ladder Work,"+3 dexterity and +3 agility. Your first attack each cycle deals +2 damage for each card that hit your discard pile last cycle by means other than playing it"
Ryan,Apothecary,9,Pop Rocks,"When applying poison to an already poisoned enemy, deal immediate damage equal to 1/3 their current poison stacks"
Ryan,Shadow Blade,11,Surprise Opener,"Your first strike on an enemy deals +3 damage. An additional +4 if they have no armor, and an additional +5 if you are their first source of damage"
Ryan,Relentless Blade,13,Nimble Assault,"If you have cards in your hand, but no Defense cards, draw a card when you play an attack"
Ryan,Light Foot,14,Let's Dance,"At the end of every cycle, gain armor equal to spaces moved/2 and deal damage to the nearest enemy within 3 range equal to spaces moved"
Ryan,Apothecary,16,Mad Scientist,"The last card you played changes the outcome of your potion cards. Utility->Heal: +3 regen. Attack->Heal: +3 strengthen. Utility->Poison: +3 poison stacks. Defense->Poison: -10% enemy physical defense."
Ryan,Shadow Blade,18,Eye Scrape,Every third critical strike provides invisibility
Stephen,The Apex,2,Deadly,"+3 damage and +50% crit damage when the target has no allies within 2 spaces"
Stephen,Sentinel,3,Clean Exchange,"Anytime you draw a Defense card and the last card you played was an offensive card, or vice versa, give the drawn card -1 tempo"
Stephen,Ranger,4,Eagle Eye,+2 range on ranged attacks
Stephen,Avenger,5,Patience is a Virtue,"When receiving Glut, deal that much damage to an enemy in melee range and halve the Glut"
Stephen,The Apex,7,Easy Target,"When exposing your enemy, deal your damage again"
Stephen,Sentinel,8,Exposed Blind Spot,"When struck with a melee attack, gain crit chance on your next attack equal to the number of non-attack cards in your hand"
Stephen,Ranger,9,Scouted,"Hitting the same enemy 3 times in a row grants +6 range on your next attack and it auto-crits — usable against any enemy"
Stephen,Avenger,11,Swing for the Fences,Cards that have >4 tempo cost deal their tempo cost as additional damage
Stephen,The Apex,13,Skilled Momentum,"If you have played 4 attacks in a row, your 5th will be played twice"
Stephen,Sentinel,14,Lethal Resourcefulness,"If you have 3 or less cards in your hand, playing a non-attack card triggers a free basic attack"
Stephen,Ranger,16,Laced Arrow,"When applying burn, cold, or shock, apply 1 additional instance"
Stephen,Avenger,18,Dominate,"When triggering an attack speed proc, the proc resolves normally and you also gain a 0m/0t basic attack card (5 tempo cooldown)"
Cory,Monk,2,Energy Barrier,"Every 3rd time you gain mana from a source other than mana regen, put an Energy Barrier in your hand (0m/0t, gain 5 armor, erase 1)"
Cory,Lurker,3,Prey on the Weak,"When applying a debuff to an enemy below 50% health, deal 3 damage to them"
Cory,Atrophist,4,Wither,Add +1 charge to all debuffs applied to enemies
Cory,Druid,5,Budding,"When playing an attack, a utility, and a defense in any order (none back to back), heal 3 and gain 5 temp HP for 15 tempo"
Cory,Lurker,7,Eat,"Killing enemies heals you 5% of your max health. You gain 1% damage for each percentage point of health the enemy is below 35%"
Cory,Monk,8,Expel Negativity,"Transfer a debuff to an enemy when you drop below 50% health. 2 charges, 10 tempo cooldown; only one charge can trigger at once"
Cory,Druid,9,Circle of Life,"When you shuffle your deck, gain 15 armor and +3 damage for 3 attacks"
Cory,Atrophist,11,Territorial Death,"When enemies enter or leave melee range, re-apply 1 random debuff they already have"
Cory,Monk,13,Self Reliance,"When you play 3 cards in a single tempo cycle, your next card costs -1m"
Cory,Atrophist,14,Death as Lifeblood,Regenerate health for each enemy with a debuff near you
Cory,Lurker,16,Serial Killer,"The first time an enemy drops below 25% health, you become invisible to them. If you attack that enemy out of your invisibility, it is an auto-crit"
Cory,Druid,18,Regrowth,"When emptying your hand, draw 4 cards. Cooldown 25 tempo"
Jeremy,Evocation,2,Arcane Overflow,"When you have 0 mana remaining after casting a spell, your next spell costs -1 tempo"
Jeremy,Shepherd,3,I Heal You,Allies near you are healed 3 health every 5 tempo
Jeremy,Poltergeist,4,Tricks of Death,Increase all % chances by 10
Jeremy,Abjurer,5,A Mage's Favor,"When a card rerolls to a different outcome in your hand, put a Magic Barrier in your hand. 0m/0t Instant: when targeted by an enemy attack, gain 8 armor. Only triggers once per reroll batch."
Jeremy,Evocation,7,Harnessed Power,Cards gain 30% effectiveness when you have 2 or less cards in your hand
Jeremy,Shepherd,8,Whispers of the Flock,"When you heal an ally, add a Shepherd's Mark card to your hand (Erase 10). Play it on the healed ally to mark them for 10 tempo. If the marked ally would take lethal damage, they survive at 1 HP and gain 10 armor instead, but Jeremy takes 8 damage. Cooldown: 20 tempo."
Jeremy,Poltergeist,9,Seance,"When you cast a spell that targets an empty tile, summon a Specter on that tile for 15 tempo. 5 HP, cannot act. Enemies may target it based on proximity. When destroyed, deals 4 damage to its killer."
Jeremy,Abjurer,11,Kinetic Armor,"While retaining armor for more than 25 tempo, apply shock to the nearest enemy equal to the number of defensive cards in your deck"
Jeremy,Evocation,13,Mana Surge,"When spending 10 mana within 5 tempo, add a Mana Surge to your hand. Mana Surge: Attack, 0m/2t, deal 5 damage, gain 1 mana."
Jeremy,Poltergeist,14,Haunted Rebuke,"When an enemy attacks you and you have 3 or more defensive cards in your hand, the enemy's next action takes +3 tempo. Cooldown: 10 tempo."
Jeremy,Shepherd,16,Blood Libation,"Every time Jeremy takes damage (excluding Blood Libation's own self-damage), gain a stack of Sanguine (max 5). Each stack grants +1 to all healing Jeremy performs. At 5 stacks, Jeremy's next heal is doubled, all Sanguine stacks are consumed, and Jeremy takes 10 non-lethal damage. The damage resolves FIRST, then the heal"
Jeremy,Abjurer,18,Fresh Start,"When playing a card that leaves your hand empty, cleanse a debuff from yourself"
